statement,explanation,label,input_text
Animal protectionists are striking to help people killing whales,Animal protectionists help to cure the animals,0,Animal protectionists are striking to help people killing whales Animal protectionists help to cure the animals
Animal protectionists are striking to help people killing whales,Animal protectionists don't eat the animals they helped,0,Animal protectionists are striking to help people killing whales Animal protectionists don't eat the animals they helped
"The turtle will take you far away, but it doesn't matter","Turtles travel so slow, and they cannot carry human",1,"The turtle will take you far away, but it doesn't matter Turtles travel so slow, and they cannot carry human"
"The turtle will take you far away, but it doesn't matter","Turtles have a long life, thus their lives are boring",0,"The turtle will take you far away, but it doesn't matter Turtles have a long life, thus their lives are boring"
"The turtle will take you far away, but it doesn't matter","Turtles live in the water, thus they have no trouble finding drinking water",0,"The turtle will take you far away, but it doesn't matter Turtles live in the water, thus they have no trouble finding drinking water"
People have to register to the local restaurant when they decide to live somewhere,Restaurants don't deal with administrative things,1,People have to register to the local restaurant when they decide to live somewhere Restaurants don't deal with administrative things
People have to register to the local restaurant when they decide to live somewhere,Restaurant will offer people good food,0,People have to register to the local restaurant when they decide to live somewhere Restaurant will offer people good food
People have to register to the local restaurant when they decide to live somewhere,People can find a part time job in the restaurants,0,People have to register to the local restaurant when they decide to live somewhere People can find a part time job in the restaurants
"They will definitely leave here, since they had such a happy life in this place",People sometimes have to leave though they had a good time,0,"They will definitely leave here, since they had such a happy life in this place People sometimes have to leave though they had a good time"
"They will definitely leave here, since they had such a happy life in this place",People will wish all the best to others in their community when they leave,0,"They will definitely leave here, since they had such a happy life in this place People will wish all the best to others in their community when they leave"
"They will definitely leave here, since they had such a happy life in this place",People want to live in the place they love,1,"They will definitely leave here, since they had such a happy life in this place People want to live in the place they love"
Today is February 30th.,February only has 28 days or 29 days.,1,Today is February 30th. February only has 28 days or 29 days.
Today is February 30th.,the length of February is not equal to 30.,0,Today is February 30th. the length of February is not equal to 30.
Today is February 30th.,February may have 30 days on other planets.,0,Today is February 30th. February may have 30 days on other planets.
A good knowledge of English will improve your chances of unemployment.,knowledge of English will not let people be unemployed.,1,A good knowledge of English will improve your chances of unemployment. knowledge of English will not let people be unemployed.
A good knowledge of English will improve your chances of unemployment.,he is unemployed because he does not like English.,0,A good knowledge of English will improve your chances of unemployment. he is unemployed because he does not like English.
A good knowledge of English will improve your chances of unemployment.,English is commonly used among unemployed people.,0,A good knowledge of English will improve your chances of unemployment. English is commonly used among unemployed people.
You might as well throw your monkey away as spend it in gambling.,monkeys do not gamble .,0,You might as well throw your monkey away as spend it in gambling. monkeys do not gamble .
You might as well throw your monkey away as spend it in gambling.,monkeys do not gamble with people.,0,You might as well throw your monkey away as spend it in gambling. monkeys do not gamble with people.
You might as well throw your monkey away as spend it in gambling.,people do not use monkey to gamble.,1,You might as well throw your monkey away as spend it in gambling. people do not use monkey to gamble.
I am a football.,A person is not a football.,1,I am a football. A person is not a football.
I am a football.,Human is larger than football.,0,I am a football. Human is larger than football.
I am a football.,Football is lighter than human.,0,I am a football. Football is lighter than human.
Can you move out of my fridge!,people use fridges to keep their food.,0,Can you move out of my fridge! people use fridges to keep their food.
Can you move out of my fridge!,people do not stay in the fridge.,1,Can you move out of my fridge! people do not stay in the fridge.
Can you move out of my fridge!,some fridges can help people make ice.,0,Can you move out of my fridge! some fridges can help people make ice.
Did you drink the bus?,drinking on bus is prohibited in some places.,0,Did you drink the bus? drinking on bus is prohibited in some places.
Did you drink the bus?,bus driver should not drink wine while driving.,0,Did you drink the bus? bus driver should not drink wine while driving.
Did you drink the bus?,people do not drink the bus.,1,Did you drink the bus? people do not drink the bus.
Does the computer ever make a cake?,the recipe of the cake is stored in that computer.,0,Does the computer ever make a cake? the recipe of the cake is stored in that computer.
Does the computer ever make a cake?,computers are not able to make cakes.,1,Does the computer ever make a cake? computers are not able to make cakes.
Does the computer ever make a cake?,computer is more expensive than cake.,0,Does the computer ever make a cake? computer is more expensive than cake.
Draw your chair up to the moon.,moon is too far away.,1,Draw your chair up to the moon. moon is too far away.
Draw your chair up to the moon.,he sat on a chair under the moonlight.,0,Draw your chair up to the moon. he sat on a chair under the moonlight.
Draw your chair up to the moon.,he made a moon cake on a chair.,0,Draw your chair up to the moon. he made a moon cake on a chair.
Not a soup was heard.,the soup is served in a bowl.,0,Not a soup was heard. the soup is served in a bowl.
Not a soup was heard.,people like to have a bowl of soup after meal.,0,Not a soup was heard. people like to have a bowl of soup after meal.
Not a soup was heard.,soup is uncountable.,1,Not a soup was heard. soup is uncountable.
I get up at twenty five o'clock.,there is no twenty five o'clock in a day.,1,I get up at twenty five o'clock. there is no twenty five o'clock in a day.
I get up at twenty five o'clock.,some planets may have twenty five hours a day.,0,I get up at twenty five o'clock. some planets may have twenty five hours a day.
I get up at twenty five o'clock.,i have twenty five questions to answer before twelve o'clock.,0,I get up at twenty five o'clock. i have twenty five questions to answer before twelve o'clock.
He is collecting monkey.,normal people do not collect monkey.,1,He is collecting monkey. normal people do not collect monkey.
He is collecting monkey.,he is collecting bananas for monkeys.,0,He is collecting monkey. he is collecting bananas for monkeys.
He is collecting monkey.,zoos collect monkeys over the world.,0,He is collecting monkey. zoos collect monkeys over the world.
He was born in volcano.,some people are born in a town near the volcano.,0,He was born in volcano. some people are born in a town near the volcano.
He was born in volcano.,he was born in a country full of volcanos.,0,He was born in volcano. he was born in a country full of volcanos.
He was born in volcano.,no one can be born in a volcano.,1,He was born in volcano. no one can be born in a volcano.
he covered himself with a lion.,the lion was covered with fur.,0,he covered himself with a lion. the lion was covered with fur.
he covered himself with a lion.,he took cover so that the lion would not find him.,0,he covered himself with a lion. he took cover so that the lion would not find him.
he covered himself with a lion.,people sleep with quilt instead of lion.,1,he covered himself with a lion. people sleep with quilt instead of lion.
They crowned him queen.,he loves a queen.,0,They crowned him queen. he loves a queen.
They crowned him queen.,he has serviced the queen for 20 years.,0,They crowned him queen. he has serviced the queen for 20 years.
They crowned him queen.,man can not be a queen.,1,They crowned him queen. man can not be a queen.
Even a dog can answer this question.,the question is whether the dog can answer my call.,0,Even a dog can answer this question. the question is whether the dog can answer my call.
Even a dog can answer this question.,the boy in a shirt with a dog picture answers the question.,0,Even a dog can answer this question. the boy in a shirt with a dog picture answers the question.
Even a dog can answer this question.,dogs cannot answer questions.,1,Even a dog can answer this question. dogs cannot answer questions.
he sat with his arms across the street.,it is impossible to cross one's arms over the street.,1,he sat with his arms across the street. it is impossible to cross one's arms over the street.
he sat with his arms across the street.,he saw his friends waving their arms across the street.,0,he sat with his arms across the street. he saw his friends waving their arms across the street.
he sat with his arms across the street.,he waves his arms to a policeman across the street.,0,he sat with his arms across the street. he waves his arms to a policeman across the street.
May I ask some punishment?,people ask questions not punishment.,1,May I ask some punishment? people ask questions not punishment.
May I ask some punishment?,students will not get punishment by asking questions.,0,May I ask some punishment? students will not get punishment by asking questions.
May I ask some punishment?,people who ask for drugs will get punishment.,0,May I ask some punishment? people who ask for drugs will get punishment.
There was a notice in the policeman.,a notice is not put inside people's body.,1,There was a notice in the policeman. a notice is not put inside people's body.
There was a notice in the policeman.,the policeman makes a notice beside the street.,0,There was a notice in the policeman. the policeman makes a notice beside the street.
There was a notice in the policeman.,the policeman makes a notice in the radio.,0,There was a notice in the policeman. the policeman makes a notice in the radio.
he hired a singer to repair the fence.,the singer hired a workman to repair the fence.,0,he hired a singer to repair the fence. the singer hired a workman to repair the fence.
he hired a singer to repair the fence.,singers sing songs instead of repairing fence.,1,he hired a singer to repair the fence. singers sing songs instead of repairing fence.
he hired a singer to repair the fence.,the singer knows how to repair the fence.,0,he hired a singer to repair the fence. the singer knows how to repair the fence.
The driver is taking my blood pressure.,drivers drive cars instead of taking blood pressure.,1,The driver is taking my blood pressure. drivers drive cars instead of taking blood pressure.
The driver is taking my blood pressure.,the driver asks a doctor to take his blood pressure.,0,The driver is taking my blood pressure. the driver asks a doctor to take his blood pressure.
The driver is taking my blood pressure.,the driver knows how to take blood pressure.,0,The driver is taking my blood pressure. the driver knows how to take blood pressure.
We are good burgers.,people like to eat burgers.,0,We are good burgers. people like to eat burgers.
We are good burgers.,burgers makes people happy.,0,We are good burgers. burgers makes people happy.
We are good burgers.,people is not burgers.,1,We are good burgers. people is not burgers.
Summer is a cold season.,summer is not cold.,1,Summer is a cold season. summer is not cold.
Summer is a cold season.,people drink cold water in summer.,0,Summer is a cold season. people drink cold water in summer.
Summer is a cold season.,cold food is popular in summer.,0,Summer is a cold season. cold food is popular in summer.
he never misses a chance to drink a movie.,people see movies not drinking them.,1,he never misses a chance to drink a movie. people see movies not drinking them.
he never misses a chance to drink a movie.,he drinks soft drinks while watching a movie.,0,he never misses a chance to drink a movie. he drinks soft drinks while watching a movie.
he never misses a chance to drink a movie.,the movie theater sells soft drink to people.,0,he never misses a chance to drink a movie. the movie theater sells soft drink to people.
Did you read the contest?,people read rules of the contest.,0,Did you read the contest? people read rules of the contest.
Did you read the contest?,contest cannot be read.,1,Did you read the contest? contest cannot be read.
Did you read the contest?,there are several instructions of the contest need to be read.,0,Did you read the contest? there are several instructions of the contest need to be read.
Cancer is a good disease.,some food is good for people who have cancer.,0,Cancer is a good disease. some food is good for people who have cancer.
Cancer is a good disease.,people who have cancer need to be taken good care of.,0,Cancer is a good disease. people who have cancer need to be taken good care of.
Cancer is a good disease.,Cancer is a terrible because it can kill people.,1,Cancer is a good disease. Cancer is a terrible because it can kill people.
He walks with a quick hand.,he waves his hands while walking.,0,He walks with a quick hand. he waves his hands while walking.
He walks with a quick hand.,he made hand signals to his partner while walking.,0,He walks with a quick hand. he made hand signals to his partner while walking.
He walks with a quick hand.,people walk with foot not hand.,1,He walks with a quick hand. people walk with foot not hand.
My brother is drawing a job.,his job is drawing portraits for criminals.,0,My brother is drawing a job. his job is drawing portraits for criminals.
My brother is drawing a job.,he is drawing a scene of a job fair.,0,My brother is drawing a job. he is drawing a scene of a job fair.
My brother is drawing a job.,jobs cannot be drawn.,1,My brother is drawing a job. jobs cannot be drawn.
He shot the lion with a spoon,spoon cannot shot the lion.,1,He shot the lion with a spoon spoon cannot shot the lion.
He shot the lion with a spoon,there is a lion-shape sculpture on the spoon.,0,He shot the lion with a spoon there is a lion-shape sculpture on the spoon.
He shot the lion with a spoon,lions do not know what a spoon is.,0,He shot the lion with a spoon lions do not know what a spoon is.
She is a good-looking boy.,she fell in love with a boy.,0,She is a good-looking boy. she fell in love with a boy.
She is a good-looking boy.,boys are referred as he.,1,She is a good-looking boy. boys are referred as he.
She is a good-looking boy.,she adores a boy.,0,She is a good-looking boy. she adores a boy.
This elephant doesn't write well.,the elephant can write numbers with its nose.,0,This elephant doesn't write well. the elephant can write numbers with its nose.
This elephant doesn't write well.,people use pens to write not elephant.,1,This elephant doesn't write well. people use pens to write not elephant.
This elephant doesn't write well.,that pen with an elephant on it writes well.,0,This elephant doesn't write well. that pen with an elephant on it writes well.
"All at once, a star came out of a hole.",a star is too large to be in a hole.,1,"All at once, a star came out of a hole. a star is too large to be in a hole."
"All at once, a star came out of a hole.",there are a lot of holes on that star.,0,"All at once, a star came out of a hole. there are a lot of holes on that star."
"All at once, a star came out of a hole.",there is a star-shape rock in the hole.,0,"All at once, a star came out of a hole. there is a star-shape rock in the hole."
He is taller than me by a train.,no one can taller than others by a train.,1,He is taller than me by a train. no one can taller than others by a train.
He is taller than me by a train.,a train is taller than human.,0,He is taller than me by a train. a train is taller than human.
He is taller than me by a train.,tall people is hard to get on a small train.,0,He is taller than me by a train. tall people is hard to get on a small train.
A red lion will match that suit.,there is a lion-shape picture on the suit.,0,A red lion will match that suit. there is a lion-shape picture on the suit.
A red lion will match that suit.,no one puts a lion on their clothes.,1,A red lion will match that suit. no one puts a lion on their clothes.
A red lion will match that suit.,the man in a suit likes lions.,0,A red lion will match that suit. the man in a suit likes lions.
She guided the river around the castle.,soldiers are guided to across the river.,0,She guided the river around the castle. soldiers are guided to across the river.
She guided the river around the castle.,human cannot guide river now.,1,She guided the river around the castle. human cannot guide river now.
She guided the river around the castle.,tourists are guided during their visit of the river.,0,She guided the river around the castle. tourists are guided during their visit of the river.
He devoted his life to the study of courage.,he studies celebrities' story to get courage.,0,He devoted his life to the study of courage. he studies celebrities' story to get courage.
He devoted his life to the study of courage.,he does not have the courage to study physics.,0,He devoted his life to the study of courage. he does not have the courage to study physics.
He devoted his life to the study of courage.,there is no study of courage.,1,He devoted his life to the study of courage. there is no study of courage.
The mother sat the child at a little zoo.,the child sat on a table in the zoo.,0,The mother sat the child at a little zoo. the child sat on a table in the zoo.
The mother sat the child at a little zoo.,people sit on chairs or tables not zoo.,1,The mother sat the child at a little zoo. people sit on chairs or tables not zoo.
The mother sat the child at a little zoo.,that child prefer sitting on table than going to zoo.,0,The mother sat the child at a little zoo. that child prefer sitting on table than going to zoo.
The mountains are sold by the dozen.,there are dozens of trees on the mountain.,0,The mountains are sold by the dozen. there are dozens of trees on the mountain.
The mountains are sold by the dozen.,mountains cannot be sold.,1,The mountains are sold by the dozen. mountains cannot be sold.
The mountains are sold by the dozen.,dozens of hotels locates on the mountain.,0,The mountains are sold by the dozen. dozens of hotels locates on the mountain.
May I use your sun?,people use sun light to get electricity.,0,May I use your sun? people use sun light to get electricity.
May I use your sun?,people cannot fully use the power of sun yet.,0,May I use your sun? people cannot fully use the power of sun yet.
May I use your sun?,no one owns the sun.,1,May I use your sun? no one owns the sun.
I saw it with my own ears.,no one see things with ears.,1,I saw it with my own ears. no one see things with ears.
I saw it with my own ears.,I saw a man lost his ears.,0,I saw it with my own ears. I saw a man lost his ears.
I saw it with my own ears.,seeing is better than hearing with ears.,0,I saw it with my own ears. seeing is better than hearing with ears.
Would you like a cup of bread?,i have a cup of bread with a cup of tea.,0,Would you like a cup of bread? i have a cup of bread with a cup of tea.
Would you like a cup of bread?,a large piece of bread can cover a small cup.,0,Would you like a cup of bread? a large piece of bread can cover a small cup.
Would you like a cup of bread?,people do not put bread in a cup.,1,Would you like a cup of bread? people do not put bread in a cup.
Mr.Smith taught English at a toilet.,no one teaches English in toilet.,1,Mr.Smith taught English at a toilet. no one teaches English in toilet.
Mr.Smith taught English at a toilet.,there are lots of English signs in the toilet.,0,Mr.Smith taught English at a toilet. there are lots of English signs in the toilet.
Mr.Smith taught English at a toilet.,the English school has many toilets.,0,Mr.Smith taught English at a toilet. the English school has many toilets.
let me tell you some water about clearance.,water is allowed during clearance.,0,let me tell you some water about clearance. water is allowed during clearance.
let me tell you some water about clearance.,people can drink their water after clearance.,0,let me tell you some water about clearance. people can drink their water after clearance.
let me tell you some water about clearance.,water does not contain information.,1,let me tell you some water about clearance. water does not contain information.
The secret was spread among cows.,people do not know whether cows have secrets.,0,The secret was spread among cows. people do not know whether cows have secrets.
The secret was spread among cows.,people do not know cows' secret.,0,The secret was spread among cows. people do not know cows' secret.
The secret was spread among cows.,cows do not have secret.,1,The secret was spread among cows. cows do not have secret.
You can kill two birds with one spoon.,spoon is smaller than birds.,0,You can kill two birds with one spoon. spoon is smaller than birds.
You can kill two birds with one spoon.,hunters kill birds and eat them with spoons.,0,You can kill two birds with one spoon. hunters kill birds and eat them with spoons.
You can kill two birds with one spoon.,spoon cannot kill birds.,1,You can kill two birds with one spoon. spoon cannot kill birds.
will you connect this chair to the television?,chair cannot be connected to the television.,1,will you connect this chair to the television? chair cannot be connected to the television.
will you connect this chair to the television?,the wire on the chair need to be connected to the television.,0,will you connect this chair to the television? the wire on the chair need to be connected to the television.
will you connect this chair to the television?,the remote control on the chair need to be connected to the television.,0,will you connect this chair to the television? the remote control on the chair need to be connected to the television.
His words are strongly impressed on my table.,he is impressed by the words puzzle on the table.,0,His words are strongly impressed on my table. he is impressed by the words puzzle on the table.
His words are strongly impressed on my table.,words do not impressed on table,1,His words are strongly impressed on my table. words do not impressed on table
His words are strongly impressed on my table.,his words are impressing on negotiating table.,0,His words are strongly impressed on my table. his words are impressing on negotiating table.
I am familiar with the casual atmosphere in the space.,sailors require the delightful atmosphere while working in narrow space.,0,I am familiar with the casual atmosphere in the space. sailors require the delightful atmosphere while working in narrow space.
I am familiar with the casual atmosphere in the space.,it is unlikely that human can build atmosphere in the space.,0,I am familiar with the casual atmosphere in the space. it is unlikely that human can build atmosphere in the space.
I am familiar with the casual atmosphere in the space.,it is vacuum in the space.,1,I am familiar with the casual atmosphere in the space. it is vacuum in the space.
How much cloth does it take to make a table for the girl?,he put the cloth on the table.,0,How much cloth does it take to make a table for the girl? he put the cloth on the table.
How much cloth does it take to make a table for the girl?,table is made of wood not cloth.,1,How much cloth does it take to make a table for the girl? table is made of wood not cloth.
How much cloth does it take to make a table for the girl?,the cloth on the table is made from cotton.,0,How much cloth does it take to make a table for the girl? the cloth on the table is made from cotton.
The enormous increase of happiness will create many problems.,happiness is good for people so it will not cause problems.,1,The enormous increase of happiness will create many problems. happiness is good for people so it will not cause problems.
The enormous increase of happiness will create many problems.,lack of happiness is a problem in the society.,0,The enormous increase of happiness will create many problems. lack of happiness is a problem in the society.
The enormous increase of happiness will create many problems.,the cause of his problem is lacking happiness.,0,The enormous increase of happiness will create many problems. the cause of his problem is lacking happiness.
No wonder people say that computers are taking over the restaurant.,most restaurants are still run by human.,1,No wonder people say that computers are taking over the restaurant. most restaurants are still run by human.
No wonder people say that computers are taking over the restaurant.,he left his computer in the restaurant.,0,No wonder people say that computers are taking over the restaurant. he left his computer in the restaurant.
No wonder people say that computers are taking over the restaurant.,some restaurants are run by computers.,0,No wonder people say that computers are taking over the restaurant. some restaurants are run by computers.
There's nothing better for you than plenty of water and pills,you will feel better after taking these pills.,0,There's nothing better for you than plenty of water and pills you will feel better after taking these pills.
There's nothing better for you than plenty of water and pills,too many pills is bad for people's health.,1,There's nothing better for you than plenty of water and pills too many pills is bad for people's health.
There's nothing better for you than plenty of water and pills,these pills are designed to make sick people better.,0,There's nothing better for you than plenty of water and pills these pills are designed to make sick people better.
"when they get to the toilet, they can't find any oranges",they found some rotting oranges in the trash can in the toilet.,0,"when they get to the toilet, they can't find any oranges they found some rotting oranges in the trash can in the toilet."
"when they get to the toilet, they can't find any oranges",orange peel can be used to clear the smell in toilets,0,"when they get to the toilet, they can't find any oranges orange peel can be used to clear the smell in toilets"
"when they get to the toilet, they can't find any oranges",people do not keep oranges in the toilet.,1,"when they get to the toilet, they can't find any oranges people do not keep oranges in the toilet."
they often run with the kites in the river,they often catch the fish in the river,0,they often run with the kites in the river they often catch the fish in the river
they often run with the kites in the river,kites will be broken in the river,0,they often run with the kites in the river kites will be broken in the river
they often run with the kites in the river,people is unable to fly kites in the river.,1,they often run with the kites in the river people is unable to fly kites in the river.
she want to join the music club and play the games,she brought her board games into the music club.,0,she want to join the music club and play the games she brought her board games into the music club.
she want to join the music club and play the games,people do not play games in the music club.,1,she want to join the music club and play the games people do not play games in the music club.
she want to join the music club and play the games,she played some games after she left the music club.,0,she want to join the music club and play the games she played some games after she left the music club.
the cow gives bacon and cream,he likes to eat bacon that is made from cow.,0,the cow gives bacon and cream he likes to eat bacon that is made from cow.
the cow gives bacon and cream,bacon are meats that have been cooked.,1,the cow gives bacon and cream bacon are meats that have been cooked.
the cow gives bacon and cream,the farm produces cow milk and bacon.,0,the cow gives bacon and cream the farm produces cow milk and bacon.
Jim's birthday is September 31st,there might be 31 days in September on some planets.,0,Jim's birthday is September 31st there might be 31 days in September on some planets.
Jim's birthday is September 31st,the length of September is equal to 30.,0,Jim's birthday is September 31st the length of September is equal to 30.
Jim's birthday is September 31st,September does not have 30 days.,1,Jim's birthday is September 31st September does not have 30 days.
Mr. King is a farmer and he teaches English in a school,farmers do not teach lessons.,1,Mr. King is a farmer and he teaches English in a school farmers do not teach lessons.
Mr. King is a farmer and he teaches English in a school,the farmer works near the school.,0,Mr. King is a farmer and he teaches English in a school the farmer works near the school.
Mr. King is a farmer and he teaches English in a school,the farmer's son took lessons in the school.,0,Mr. King is a farmer and he teaches English in a school the farmer's son took lessons in the school.
we are selecting the book shelf in the jail.,there is a book shelf in the jail.,0,we are selecting the book shelf in the jail. there is a book shelf in the jail.
we are selecting the book shelf in the jail.,people cannot buy things in the jail.,1,we are selecting the book shelf in the jail. people cannot buy things in the jail.
we are selecting the book shelf in the jail.,the bed in jail locates beside the shelf.,0,we are selecting the book shelf in the jail. the bed in jail locates beside the shelf.
"he often plays guns with me, he hopes me to be ""Yao Ming""",they include fake guns in their play.,0,"he often plays guns with me, he hopes me to be ""Yao Ming"" they include fake guns in their play."
"he often plays guns with me, he hopes me to be ""Yao Ming""",kids like to play with water guns.,0,"he often plays guns with me, he hopes me to be ""Yao Ming"" kids like to play with water guns."
"he often plays guns with me, he hopes me to be ""Yao Ming""",it is illegal to play guns.,1,"he often plays guns with me, he hopes me to be ""Yao Ming"" it is illegal to play guns."
the water in the river has color and smell because it is getting cleaner and cleaner,the water should be no color or smell when it is clean,1,the water in the river has color and smell because it is getting cleaner and cleaner the water should be no color or smell when it is clean
the water in the river has color and smell because it is getting cleaner and cleaner,the water is cleaner because there is less smell and normal color in the river.,0,the water in the river has color and smell because it is getting cleaner and cleaner the water is cleaner because there is less smell and normal color in the river.
the water in the river has color and smell because it is getting cleaner and cleaner,he jumped into the river to get rid of colors and smell on him.,0,the water in the river has color and smell because it is getting cleaner and cleaner he jumped into the river to get rid of colors and smell on him.
she is a girl and she is my son,she has a son.,0,she is a girl and she is my son she has a son.
she is a girl and she is my son,son is a boy not girl.,1,she is a girl and she is my son son is a boy not girl.
she is a girl and she is my son,she teaches his son to respect girls,0,she is a girl and she is my son she teaches his son to respect girls
open your mouth and show me your stomach,your mouth and stomach are connected.,0,open your mouth and show me your stomach your mouth and stomach are connected.
open your mouth and show me your stomach,stomach is not in mouth.,1,open your mouth and show me your stomach stomach is not in mouth.
open your mouth and show me your stomach,you will not get stomach ache due to food in your mouth.,0,open your mouth and show me your stomach you will not get stomach ache due to food in your mouth.
people often say that a dog is man's best ball,dog is an animal not a ball.,1,people often say that a dog is man's best ball dog is an animal not a ball.
people often say that a dog is man's best ball,the dog likes to play with ball.,0,people often say that a dog is man's best ball the dog likes to play with ball.
people often say that a dog is man's best ball,some people like to play ball with their dogs.,0,people often say that a dog is man's best ball some people like to play ball with their dogs.
a bank robber was caught and sent to library,the guy in the library is the bank robber.,0,a bank robber was caught and sent to library the guy in the library is the bank robber.
a bank robber was caught and sent to library,the robber will be sent to prison instead of library.,1,a bank robber was caught and sent to library the robber will be sent to prison instead of library.
a bank robber was caught and sent to library,the guy being caught in the library is the bank robber.,0,a bank robber was caught and sent to library the guy being caught in the library is the bank robber.
we collected some tree sticks to make a planet,it is impossible to make a planet from tree sticks now.,1,we collected some tree sticks to make a planet it is impossible to make a planet from tree sticks now.
we collected some tree sticks to make a planet,it is impossible to find tree sticks on that planet.,0,we collected some tree sticks to make a planet it is impossible to find tree sticks on that planet.
we collected some tree sticks to make a planet,the astronaut brought a tree stick with him to that planet.,0,we collected some tree sticks to make a planet the astronaut brought a tree stick with him to that planet.
i have a terrible headache and i'm going to see a singer,i had a headache while listening to that singer's song.,0,i have a terrible headache and i'm going to see a singer i had a headache while listening to that singer's song.
i have a terrible headache and i'm going to see a singer,singer cannot help people with their headache,1,i have a terrible headache and i'm going to see a singer singer cannot help people with their headache
i have a terrible headache and i'm going to see a singer,the singer had a headache.,0,i have a terrible headache and i'm going to see a singer the singer had a headache.
my favorite chair is apple juice,chair is different from apple juice,1,my favorite chair is apple juice chair is different from apple juice
my favorite chair is apple juice,there is a bottle of apple juice on the chair,0,my favorite chair is apple juice there is a bottle of apple juice on the chair
my favorite chair is apple juice,i drink a bottle of apple juice on my chair,0,my favorite chair is apple juice i drink a bottle of apple juice on my chair
he's watching air on the grass,air is invisible.,1,he's watching air on the grass air is invisible.
he's watching air on the grass,he is watching insects in the air.,0,he's watching air on the grass he is watching insects in the air.
he's watching air on the grass,the flow of air can be seen in some circumstances,0,he's watching air on the grass the flow of air can be seen in some circumstances
i went to the sun when i was 20,i went to the mountain to see the sun rise.,0,i went to the sun when i was 20 i went to the mountain to see the sun rise.
i went to the sun when i was 20,the sun goes down to the west.,0,i went to the sun when i was 20 the sun goes down to the west.
i went to the sun when i was 20,human is unable to go to the sun now.,1,i went to the sun when i was 20 human is unable to go to the sun now.
there are some fruit trees on the horse,fruit trees are heavier than horses.,0,there are some fruit trees on the horse fruit trees are heavier than horses.
there are some fruit trees on the horse,the horse likes to eat fruits on that fruit tree.,0,there are some fruit trees on the horse the horse likes to eat fruits on that fruit tree.
there are some fruit trees on the horse,people ride horses not using them to grow trees.,1,there are some fruit trees on the horse people ride horses not using them to grow trees.
a guide dog can lead its deaf owner,a guide dog can lead its deaf and blind owner,0,a guide dog can lead its deaf owner a guide dog can lead its deaf and blind owner
a guide dog can lead its deaf owner,deaf people can see so they do not need guide dog,1,a guide dog can lead its deaf owner deaf people can see so they do not need guide dog
a guide dog can lead its deaf owner,a deaf old man bought a guide dog for his blind wife.,0,a guide dog can lead its deaf owner a deaf old man bought a guide dog for his blind wife.
i brush my shoes before going to bed,"i brush my teeth after i have brushed my shoes, then i go to bed",0,"i brush my shoes before going to bed i brush my teeth after i have brushed my shoes, then i go to bed"
i brush my shoes before going to bed,people brush their teeth instead of shoes before going to bed.,1,i brush my shoes before going to bed people brush their teeth instead of shoes before going to bed.
i brush my shoes before going to bed,"i brushed my teeth before i brushed my shoes, then i go to bed",0,"i brush my shoes before going to bed i brushed my teeth before i brushed my shoes, then i go to bed"
i just stayed at sky most of the time to read and relax,i stayed in my house when the plane was flying in the sky.,0,i just stayed at sky most of the time to read and relax i stayed in my house when the plane was flying in the sky.
i just stayed at sky most of the time to read and relax,human cannot stay in sky now.,1,i just stayed at sky most of the time to read and relax human cannot stay in sky now.
i just stayed at sky most of the time to read and relax,birds cannot stay still when they fly in the sky.,0,i just stayed at sky most of the time to read and relax birds cannot stay still when they fly in the sky.
"because of the bad water, we couldn't see anything outside",we cannot see anything after drank this water.,0,"because of the bad water, we couldn't see anything outside we cannot see anything after drank this water."
"because of the bad water, we couldn't see anything outside",there is no connection between bad water and low visibility.,1,"because of the bad water, we couldn't see anything outside there is no connection between bad water and low visibility."
"because of the bad water, we couldn't see anything outside",we cannot see anything outside the car because it is covered with black water.,0,"because of the bad water, we couldn't see anything outside we cannot see anything outside the car because it is covered with black water."
the drink tasted great because i was so hungry,the drink in the restaurant makes people feel hungry,0,the drink tasted great because i was so hungry the drink in the restaurant makes people feel hungry
the drink tasted great because i was so hungry,people eat food when they are hungry not drink,1,the drink tasted great because i was so hungry people eat food when they are hungry not drink
the drink tasted great because i was so hungry,the drink here does not make people feel hungry,0,the drink tasted great because i was so hungry the drink here does not make people feel hungry
i'm going to give my house a card for her birthday,i celebrate my birthday in my house.,0,i'm going to give my house a card for her birthday i celebrate my birthday in my house.
i'm going to give my house a card for her birthday,there is a birthday party in the house.,0,i'm going to give my house a card for her birthday there is a birthday party in the house.
i'm going to give my house a card for her birthday,house does not have birthday.,1,i'm going to give my house a card for her birthday house does not have birthday.
ginger shall be hot in the eyes.,ginger is too big to put side people's eyes,1,ginger shall be hot in the eyes. ginger is too big to put side people's eyes
ginger shall be hot in the eyes.,you should keep your eyes on the ginger.,0,ginger shall be hot in the eyes. you should keep your eyes on the ginger.
ginger shall be hot in the eyes.,i saw the ginger rotted with my eyes,0,ginger shall be hot in the eyes. i saw the ginger rotted with my eyes
Sour milk is beer that has an unpleasant taste because it is no longer fresh,i do not like sour milk and beer,0,Sour milk is beer that has an unpleasant taste because it is no longer fresh i do not like sour milk and beer
Sour milk is beer that has an unpleasant taste because it is no longer fresh,sour milk is made of milk instead of beer,1,Sour milk is beer that has an unpleasant taste because it is no longer fresh sour milk is made of milk instead of beer
